1000@147,8@1,90526@260,6@2,21856@173,44@2,30571
1072@147,88@0,294983@261,12@0,721007@172,8@0,334575
1150@150,26@0,325202@264,68@0,488903@175,58@0,303859
1233@152,7@0,214064@267,26@0,392158@177,04@0,251387
1322@154,5@0,252821@270,74@0,403858@178,82@0,268604
1417@157,22@0,281868@273,94@0,310735@181,08@0,190975
1520@158,92@0,242899@277,5@0,420291@182,22@0,212411
1630@161,32@0,233511@280,38@0,232062@184,64@0,187852
1748@163,7@0,230038@283,48@0,244481@186,3@0,203657
1874@165,46@0,219658@285,3@0,233871@188,5@0,204668
2009@167,58@0,216516@288,28@0,348559@190,2@0,181252
2154@169,3@0,202698@291,74@0,243409@193,1@0,175707
2310@171,36@0,190147@295,12@0,185258@194,62@0,149718
2477@172,94@0,173798@298,36@0,208344@196,58@0,136541
2656@174,82@0,144398@300,06@0,17444@198,86@0,195988
2848@178,22@0,191626@304@0,187383@201,16@0,125309
3054@187,8@0,135413@311,74@0,142045@204,94@0,13878
3275@190,08@0,128027@315,9@0,160629@206,6@0,154327
3511@192,56@0,131074@317,24@0,146272@208,24@0,13194
3765@194,72@0,103177@323,42@0,175664@210,38@0,13218
4037@197,28@0,113581@323,3@0,16394@212,14@0,091799
4329@199,26@0,124981@327,52@0,131167@214,7@0,0839375
4642@202,06@0,116331@331,98@0,13208@217,08@0,0826114
4977@198,92@0,0797827@333,16@0,122528@219,86@0,0896716
5337@201,28@0,104319@336,58@0,0969654@221,5@0,0780357
5722@203,5@0,0939446@340,48@0,0920465@224,14@0,0989459
6136@206,52@0,0851412@345,04@0,0674551@226,6@0,0765964
6579@207,9@0,0893305@350,82@0,0883725@229,02@0,0686216
7055@210,96@0,067264@355,48@0,0738531@231,54@0,0793489
7565@213,66@0,0790057@358,3@0,0634959@235,06@0,0617224
8111@217,54@0,0756511@361,92@0,0913467@238,18@0,0581005
8697@222,46@0,0629101@370,76@0,0736068@240,48@0,0698888
9326@226,06@0,0628339@376,04@0,150743@243,68@0,0709
10000@232,54@0,153108@370,88@0,0559285@246,8@0,0663325
10723@235,52@0,0614415@376,36@0,0953649@249,52@0,0515361
11498@238,52@0,0578504@384,08@0,0883154@252,78@0,0688978
12328@242,92@0,0823881@388@0,0569618@255,94@0,0575427
13219@248,52@0,0495688@397,54@0,0524893@259,14@0,0460399
14175@253,74@0,0690679@402,68@0,0676541@262,22@0,058542
15199@256,12@0,0508368@403,62@0,0536698@265,48@0,0553001
16298@260,86@0,0495532@404,82@0,0527673@268,94@0,040566
17475@262,78@0,0548532@404,92@0,045186@271,8@0,0414335
18738@266,92@0,042396@410,22@0,0487763@275,08@0,052517
20092@268,42@0,0447191@416,18@0,0525007@277,74@0,0328032
21544@271,92@0,0358443@423,04@0,061664@280,88@0,028321
23101@274,06@0,0735067@431,28@0,0446623@284,54@0,23191
24771@281,42@0,0392596@430,32@0,0681005@286,96@0,0772755
26561@287,88@0,0403665@437,78@0,0508132@289,06@0,0401514
28480@286,7@0,173012@442,38@0,0976874@297,82@0,662588
30539@289,42@0,0755217@446,76@0,0439987@295,28@0,0428525
32745@305,44@0,0333043@456,28@0,0349858@297,64@0,0279169
35112@298,8@0,0261443@461,98@0,0572247@317,24@0,887868
37649@305,72@0,0300866@456,64@0,0453764@303,62@0,0341005
40370@310,9@0,0300689@468,02@0,0362265@305,96@0,0243417
43288@309,28@0,0288702@470,28@0,0340133@332,26@0,860937
46416@312,6@0,0262568@475,22@0,0470108@324,32@0,7156
49770@324,78@0,0247876@475,16@0,0256403@314,8@0,0253566
53367@326,82@0,0350015@483,44@0,0357798@316,86@0,0280603
57224@328,2@0,0289622@485,54@0,0324939@319,4@0,0270917
61359@332,06@0,0238218@489,42@0,0297153@324,98@0,273118
65793@333,78@0,0282697@498,92@0,0343609@327,02@0,15908
70548@344,5@0,0200993@504,28@0,0301383@328,66@0,0241719
75646@345,62@0,0240572@505,78@0,0268611@333,1@0,0207276
81113@353,76@0,0208081@516,46@0,0239225@337,22@0,0802659
86975@352,48@0,0378314@527,86@0,0514263@346,34@0,194291
93260@352,16@0,0187309@530,82@0,0508748@350,68@0,211123
100000@367,76@0,027408@536,48@0,0546333@355,5@0,0560803
107227@371,72@0,0393556@565,66@0,461033@368,16@0,283872
114976@374,66@0,047665@553,56@0,0607496@367,7@0,0779434
123285@382,18@0,0355012@568,4@0,172535@381,76@0,246698
132194@402,7@0,154867@578,72@0,337437@378,34@0,206869
141747@396,38@0,0554468@573,62@0,149304@387,78@0,259055
151991@406,74@0,0499765@586,08@0,0912542@395,74@0,161038
162975@413,58@0,0359116@611,18@0,218536@413,68@0,43059
174753@415,48@0,0367862@604,88@0,136568@414,78@0,152959
187382@437,38@0,11914@625,3@0,064041@424,72@0,183245
200923@448,48@0,168083@647,74@0,130573@442,86@0,207224
215443@459,38@0,16887@673,46@0,24841@454,52@0,115709
231013@487,02@0,1752@700,64@0,200767@479,72@0,117623
247708@482,92@0,11587@726,56@0,201248@489,24@0,0881574
265609@513,66@0,103499@747,72@0,198334@504,34@0,0700467
284804@523,54@0,0624411@767,44@0,0951101@527,6@0,0516575
305386@551,78@0,0534537@793,44@0,080852@546,06@0,0607978
327455@571,22@0,0684572@819,82@0,158606@585,78@0,0639839
351119@618,7@0,194175@839@0,0854872@590,22@0,115235
376494@621,5@0,0867067@876,66@0,0522848@606,76@0,0617828
403702@640,54@0,0491295@902,78@0,107561@636,02@0,100074
432876@674,9@0,13031@942,94@0,199779@663,54@0,140692
464159@703,54@0,136201@972,38@0,0704204@681,88@0,117326
497702@733,22@0,0617957@1007,04@0,105922@696,1@0,10568
533670@756,52@0,0689141@1015,06@0,0727286@707,46@0,064793
572237@779,76@0,0750033@1049,96@0,101005@726,38@0,0382628
613591@828,72@0,359539@1080,08@0,135644@756,44@0,0554163
657933@846,26@0,0726817@1131,58@0,0863361@789,2@0,122642
705480@867,42@0,0900771@1143,1@0,0578687@802,52@0,0726592
756463@876,56@0,0858578@1150@0,0907362@822,52@0,0663528
811131@903,34@0,109947@1193,94@0,0804118@832,2@0,0500268
869749@912,56@0,0259196@1209,48@0,124948@866,78@0,142198
932603@947,46@0,0584892@1244,48@0,0947272@867,26@0,0962719
1000000@964,52@0,113413@1236,58@0,0763163@875@0,0538145
